title,reactions,comments,shares
"mujer de 30 no es atractiva y hombre sin dinero tampoco
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra","2,5 mil",940,549
"falta de bebes en el mundo, ya no quieren tener hijos
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra",175,28,34
"Por esto no te presumen en redes y te mantienen en el anonimato
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra","1,3 mil",147,225
"Las de 40 sin hijos no son felices
#amorrpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra",3 mil,"1,4 mil",375
"Quieren todo solo por ser bonitas aunque no las conozcas les des todo
#amorrpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra",512,125,79
"ella dice por que no deberias salir con un hombre tacaño
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra","1,1 mil",428,185
"fue a visitar a su novia de internet de sorpresa y se entero de que
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra","3,3 mil",603,341
"ella explica por que no quieren al  temach
#amorpropio #amor #relacionessanas #mujeres #hombre #ElTemach #ModoGuerra",20 mil,"1,4 mil","3,6 mil"
