title,reactions,comments,shares
"¡Atención Riveristas! 
 ¿Dónde, cuándo y a qué hora llegará a #Durango? 
 https://elsiglo.mx/d1529313",34,8,8
La iniciativa impactaría únicamente a estudiantes de nivel primaria y secundaria.,1,4,4
"Aseguran que la vacuna cubana ha tenido buena aceptación entre los grupos de alto riesgo y los adultos mayores.
 https://elsiglo.mx/d1529320",4,No element,No element
"El varón fue auxiliado tras una llamada al 911 este martes en la madrugada. 
NOTA en los comentarios ",1,No element,No element
"Actualmente, el conductor se recupera en terapia intermedia.",18,No element,No element
"Fue en marzo de 2021 que se anunció que Caxxor Group invertiría 150 millones de dólares para potenciar el desarrollo del parque industrial del estado. 
 https://elsiglo.mx/d1529305",1,No element,No element
CORTE INFORMATIVO 05/03/2024 #NOTICIASSTV #Noticias #NoticiasHoy #DurangoMex,6,No element,No element
La información se dio a conocer durante la mañanera de este martes.,7,No element,No element
"¿Te gustaría jugar junto al Chicharito? ¡Chivas te está buscando! 
Acude HOY a las visorias. 
 En los comentarios te dejamos toda la información",3,No element,No element
