Title,Likes,Comments
,,
"Hoy es el día para cantar a todo pulmón 🎶 NI SIQUIERA ME PENSASTE, UN 29 DE FEBRERO 💔🥲

C",29,0
,,
"Seguimos en el mes del amor ❤️, y estos episodios de caricatura son los favoritos del mes.",6,0
,,
"Toda nuestra admiración y respeto para estos héroes, caídos en el cumplimiento del deber.",20,0
,,
"¿Ya te sabías la leyenda de ""El árbol del Matrimonio? Se encuentra ubicado en el Parque Guadiana. 👀",11,0
,,
¡Gracias a todas las locutoras y locutores por llevar la magia de la radio a nuestros oídos! Especialmente a las y los,12,0
,,
Los duranguenses se preparan para este 14 de febrero 👀😏,7,0
,,
A propósito del día de los enamorados... 🥰,82,1
,,
"¿Ya tienen plan para San Valentín, raza? 🥹",18,0
,,
DALE LO MEJOR A TU CUERPO 🏋️‍♀️🙌,46,1
,,
Lamentamos profundamente la noticia de Luka Azael Morales García. Nuestras condolencias para su familia y seres queridos,292,10
,,
¡En Durango hay ajolotes y no lo sabíamos!,113,3
,,
"Hoy se celebra el Día Internacional del Croissant 🥐. Aquí te van los Top 6 más buenos de Durango, según la racita.",20,0
