title,reactions,comments,shares
"¡#JuliánQuiñones 
 hizo una solicitud importante a la directiva de las Águilas! 
 Aseguró que #HenryMartin es una de las piezas clave en el equipo azulcrema. ",1,No element,No element
"¡Qué siempre sí! 
 El regidor #MeñodelaPeña confirma su ingreso a #MovimientoCiudadano 
 después de renunciar al PAN. ",3,No element,No element
" #VIDEO | ¡Se hizo viral por su voz, no por su triunfo! 
 Una atleta neerlandesa superó su propia marca pero tras hacerle una entrevista, su voz se asemejaba a la de #MickeyMouse. ",1,No element,No element
#VIDEO: Reportan que la primera actriz Silvia Pinal tiene más complicaciones de salud,1,No element,No element
El androide #Haaland fue claro con él motivo por el que no ha ganado un balón de oro,1,No element,No element
"¿Has escuchado sobre las multas a los partidos políticos? 
Aquí te contamos todo sobre ellas y a donde se van ",2,No element,No element
"#VIDEO: ¿Han escuchado sobre los casos de fantasmas que son captados por los autos #Tesla? 
Pues este grupo de chicas quisieron comprobarlo ",1,No element,No element
