Title,Likes,Comments,Saved
"#EnLaShorcha ✨ | A través de redes sociales se dio a conocer que la actriz #AnaPatriciaRojo contrajo matrimonio en secreto. 😱

sonido original - POSTA Durango",3,0,0
"#EnLaShorcha✨ | #Madonna 🎤 sufrió una caída en pleno concierto, tras un error en un paso que quiso intentar con una silla. 😓

sonido original - POSTA Durango",1,0,0
"La #Entrevista 🎙️con Tadeo Campagne solo en #POSTA
original sound - POSTA Durango
Durango",5,0,0
"Cientos de duranguenses 🦂 se dieron cita para mostrarle a #México 🇲🇽 que quieren defender su voto y la democracia. 🗳️




sonido original - POSTA Durango
Durango",92,7,3
"¿Sergio Mayer vetado de televisa? 🫣
El ex modelo y político, apareció como conductor sorpresa en el programa ‘Venga la Alegria’ 😯 lo que nos dice que en televisa ya no es bienvenido 😳


Cactus - Belinda",33,0,1
"¿Sabías que la primera cámara a color fue inventada por un mexicano? 😯 Pues @wikichava se fue al nuevo
Happy - Pharrell Williams",18,0,0
"Así al momento, la asistencia de los duranguenses para la toma de ceniza ✝️, desde la Catedral Basílica Menor de

Tu Estas Aqui - Los Cantantes Catolicos
Durango",25,0,0
"Ángel Meraz (@aemeraz ) | La Entrevista con @jesuscarrillo4114 .

Escritor y co-fundador del CEID
(Centro de Estudios para Invidentes en Durango)

sonido original - POSTA Durango",5,0,0
"Ángel Meraz (@aemeraz ) | La Entrevista con @jesuscarrillo4114

Escritor y co-fundador del CEID
(Centro de Estudios para Invidentes en Durango)

sonido original - POSTA Durango",5,0,0
"Uno de los andares de #Durango 🦂 que debes visitar, ¡conoce el Mercado Gómez Palacio y su riqueza en productos duranguenses! 🤩

sonido original - POSTA Durango",26,2,1
"#CrónicasPOP 💥 | #Bukele 🇸🇻 buscó publicidad con distintos influencers para dar a conocer su máxima prisión pero, es mejor acudir a investigaciones periodísticas. 📰

sonido original - POSTA Durango",1,0,0
"La #Entrevista 🎙️ con @aemeraz , solo en #POSTA. 🔴
sonido original - POSTA Durango",3,0,0
"Un vestido que perteneció a la primera actriz María Félix, creado en el año 1968 por el reconocido Christian Dior 👗, está a la venta en Estados Unidos 😯


Cactus - Belinda",3,0,0
"#EnLaShorcha ✨ |Famoso cantante mexicano es el fan de La Bichota🤩
¡Hasta foto con ella se tomó!🥳



MAMIII - Becky G & KAROL G
Mexico City",4,0,0
